qw,qx,qy,qz
0.2102486,0.056532,-0.9205167,0.3244203
0.2101077,0.05895908,-0.9162277,0.336014
0.2101077,0.05895908,-0.9162277,0.336014
0.209517,0.06166424,-0.9122825,0.3464689
0.2084652,0.06386879,-0.9088689,0.3555564
0.2080546,0.06528137,-0.9053354,0.3644441
0.2080546,0.06528137,-0.9053354,0.3644441
0.2084876,0.06609417,-0.9021229,0.3719392
0.2097408,0.06657591,-0.8992379,0.3780844
0.2109834,0.06640861,-0.8970531,0.3825857
0.2109834,0.06640861,-0.8970531,0.3825857
0.2113356,0.06590429,-0.8954843,0.3861371
0.2103041,0.0659661,-0.8940603,0.3899705
0.2103041,0.0659661,-0.8940603,0.3899705
0.2083911,0.0667979,-0.8925434,0.3943065
0.2060306,0.06639705,-0.8913026,0.3983998
0.2023692,0.06590339,-0.8895905,0.4041438
0.2023692,0.06590339,-0.8895905,0.4041438
0.1981547,0.06553505,-0.8880573,0.4096268
0.1922768,0.06314812,-0.8867699,0.4155492
0.1850515,0.0591414,-0.8863609,0.4202648
0.1850515,0.0591414,-0.8863609,0.4202648
0.1776934,0.05549422,-0.8867069,0.4231979
0.1705587,0.05293673,-0.8872468,0.4253241
0.1625502,0.05012543,-0.887292,0.4286931
0.1625502,0.05012543,-0.887292,0.4286931
0.1521409,0.04534645,-0.8872002,0.433212
0.1412185,0.04004651,-0.8867412,0.4383419
0.1285676,0.03444265,-0.8870259,0.4421189
0.1285676,0.03444265,-0.8870259,0.4421189
0.1140734,0.02760976,-0.8877092,0.4451936
0.09858634,0.02289298,-0.888208,0.4481554
0.08426699,0.02035502,-0.8880791,0.4514425
0.08426699,0.02035502,-0.8880791,0.4514425
0.07016198,0.01747397,-0.8869444,0.4561815
0.05673617,0.01402853,-0.8854021,0.461137
0.04460781,0.01120855,-0.8838828,0.4654415
0.04460781,0.01120855,-0.8838828,0.4654415
0.03341718,0.007474252,-0.8820044,0.4699954
0.02168596,0.002459649,-0.8802331,0.4740395
0.008165034,-0.001464844,-0.8789859,0.4767756
0.008165034,-0.001464844,-0.8789859,0.4767756
-0.009323008,-0.003291375,-0.8780364,0.4784917
-0.03209614,-0.004338222,-0.8768682,0.4796385
-0.03209614,-0.004338222,-0.8768682,0.4796385
-0.05945463,-0.005150152,-0.8747115,0.4809557
-0.08640164,-0.006918275,-0.8714249,0.4828101
-0.1097007,-0.008509973,-0.867998,0.4842239
-0.1097007,-0.008509973,-0.867998,0.4842239
-0.1288487,-0.009722425,-0.8652284,0.4844413
-0.1425658,-0.010251,-0.8635561,0.4835709
-0.1531417,-0.01287393,-0.862552,0.4820642
-0.1531417,-0.01287393,-0.862552,0.4820642
-0.1622031,-0.01801499,-0.8615887,0.4806563
-0.1699367,-0.02331223,-0.8604046,0.4798771
-0.1753376,-0.02783176,-0.8594168,0.4794631
-0.1753376,-0.02783176,-0.8594168,0.4794631
-0.1791887,-0.03375879,-0.8587704,0.4788166
-0.1830847,-0.04014453,-0.8581322,0.4779932
-0.1865522,-0.04528274,-0.8574088,0.4774913
-0.1865522,-0.04528274,-0.8574088,0.4774913
-0.1892515,-0.05094494,-0.8569599,0.4766636
-0.1917597,-0.05701487,-0.8568203,0.4752225
-0.1931453,-0.06139105,-0.8572586,0.473322
-0.1931453,-0.06139105,-0.8572586,0.473322
-0.1925312,-0.0637837,-0.8583665,0.4712433
-0.189916,-0.06551458,-0.8600773,0.4689423
-0.1876217,-0.06850196,-0.8622317,0.4654698
-0.1876217,-0.06850196,-0.8622317,0.4654698
-0.1850464,-0.07109724,-0.8651285,0.4607123
-0.1799796,-0.07203979,-0.868829,0.4555807
-0.1799796,-0.07203979,-0.868829,0.4555807
-0.1725428,-0.0732668,-0.8732968,0.4496818
-0.1633278,-0.07600129,-0.8790268,0.4414293
-0.1537605,-0.07872352,-0.8857452,0.4308314
-0.1427993,-0.08106728,-0.8937936,0.4173361
-0.1427993,-0.08106728,-0.8937936,0.4173361
-0.1305919,-0.08380365,-0.9030355,0.4005617
-0.1172155,-0.08612612,-0.9136047,0.3796963
-0.1172155,-0.08612612,-0.9136047,0.3796963
-0.1032935,-0.08621389,-0.9244046,0.3568946
-0.0886597,-0.08643371,-0.934967,0.3324235
-0.07381198,-0.08579633,-0.9447853,0.3075249
-0.07381198,-0.08579633,-0.9447853,0.3075249
-0.05903687,-0.08350377,-0.9537384,0.2827098
-0.04458592,-0.08104348,-0.9615659,0.2585251
-0.03013382,-0.07876837,-0.9681773,0.2356273
-0.03013382,-0.07876837,-0.9681773,0.2356273
-0.01555235,-0.0766794,-0.97373,0.2138417
-0.0009689031,-0.07503274,-0.9783888,0.1926774
0.0133286,-0.07257488,-0.9824558,0.1712769
0.0133286,-0.07257488,-0.9824558,0.1712769
0.02691533,-0.06961477,-0.9859976,0.1491246
0.03965914,-0.06602729,-0.989054,0.1258558
0.05202287,-0.06259744,-0.9914247,0.1022365
0.05202287,-0.06259744,-0.9914247,0.1022365
0.06379584,-0.05890484,-0.9931558,0.07811461
0.07585549,-0.05410511,-0.9942116,0.05349801
0.08849627,-0.0496241,-0.9944577,0.02756601
0.08849627,-0.0496241,-0.9944577,0.02756601
0.1002424,-0.04597143,-0.9938971,0.002577968
0.1104002,-0.04244661,-0.9927676,-0.02055825
0.1188769,-0.03912787,-0.9913363,-0.03987068
0.1188769,-0.03912787,-0.9913363,-0.03987068
0.1264542,-0.03615136,-0.9897388,-0.05585381
0.132511,-0.03361015,-0.9881984,-0.06910226
0.132511,-0.03361015,-0.9881984,-0.06910226
0.1369335,-0.03244086,-0.9867826,-0.08035528
0.1404218,-0.03201292,-0.9854496,-0.09025488
0.1433533,-0.0313476,-0.9842045,-0.09903883
0.1433533,-0.0313476,-0.9842045,-0.09903883
0.1461022,-0.03074621,-0.9828567,-0.1081737
0.1486211,-0.03033269,-0.9813595,-0.1180047
0.1502775,-0.02963746,-0.9799023,-0.1277884
0.1502775,-0.02963746,-0.9799023,-0.1277884
0.1511555,-0.02968116,-0.9786285,-0.1362253
0.1509538,-0.02929586,-0.9777372,-0.1427746
0.1504453,-0.02980441,-0.9769559,-0.1484424
0.1504453,-0.02980441,-0.9769559,-0.1484424
0.1495572,-0.03078085,-0.9762708,-0.1535597
0.1483176,-0.03182923,-0.9757615,-0.1577288
0.1468555,-0.03216408,-0.9753304,-0.1616466
0.1468555,-0.03216408,-0.9753304,-0.1616466
0.1456486,-0.03256052,-0.9750299,-0.1644472
0.1443109,-0.03240363,-0.9747365,-0.1673716
0.1428571,-0.0309202,-0.9742082,-0.1719133
0.1428571,-0.0309202,-0.9742082,-0.1719133
0.1410055,-0.02978541,-0.9733645,-0.1783024
0.1385932,-0.0295894,-0.9723597,-0.1855612
0.1367888,-0.02752652,-0.9715304,-0.1914678
0.1367888,-0.02752652,-0.9715304,-0.1914678
0.1369176,-0.02494509,-0.971212,-0.1933354
0.1371179,-0.02201365,-0.9710019,-0.1946006
0.1371179,-0.02201365,-0.9710019,-0.1946006
0.1325771,-0.01511702,-0.9707137,-0.1997743
0.1259029,-0.006154572,-0.9702595,-0.2066569
0.124612,-0.008824594,-0.9687351,-0.214351
0.124612,-0.008824594,-0.9687351,-0.214351
0.1252858,-0.0202416,-0.9667255,-0.2221162
0.1231019,-0.03740773,-0.9640315,-0.2325724
0.1210442,-0.05322448,-0.9614816,-0.2409745
0.1210442,-0.05322448,-0.9614816,-0.2409745
0.1219416,-0.0555975,-0.9602938,-0.2446938
0.1231482,-0.03804953,-0.9600515,-0.2483703
0.1226553,-0.01366315,-0.9606046,-0.2490138
0.1226553,-0.01366315,-0.9606046,-0.2490138
0.130911,-0.01516082,-0.9608243,-0.243822
0.1409111,-0.02966761,-0.9613217,-0.2347861
0.1452203,-0.03325089,-0.9616975,-0.2300943
0.1452203,-0.03325089,-0.9616975,-0.2300943
0.1433431,-0.02570008,-0.9616047,-0.2326126
0.1391034,-0.02607966,-0.9609214,-0.2379078
0.1338623,-0.03323542,-0.9608562,-0.2402742
0.1338623,-0.03323542,-0.9608562,-0.2402742
0.1295856,-0.03563011,-0.9619043,-0.2380718
0.1276005,-0.03454503,-0.9628682,-0.2353926
0.1253227,-0.03459569,-0.9631146,-0.2356009
0.1253227,-0.03459569,-0.9631146,-0.2356009
0.1217178,-0.03585025,-0.9630157,-0.237698
0.1191721,-0.03613632,-0.9629427,-0.2392353
0.1191721,-0.03613632,-0.9629427,-0.2392353
0.1189558,-0.03532243,-0.9632304,-0.2383046
0.12047,-0.03591669,-0.9638636,-0.2348704
0.1217436,-0.03624913,-0.9646449,-0.2309214
0.1217436,-0.03624913,-0.9646449,-0.2309214
0.1219586,-0.03572825,-0.9655271,-0.2271717
0.121753,-0.03526206,-0.9664085,-0.2235789
0.1220679,-0.03462733,-0.9671713,-0.2201822
0.1232391,-0.03499545,-0.9677738,-0.216798
0.1232391,-0.03499545,-0.9677738,-0.216798
0.1242209,-0.03556229,-0.9681699,-0.2143634
0.1241633,-0.03453684,-0.9685794,-0.2127079
0.1241633,-0.03453684,-0.9685794,-0.2127079
0.1244007,-0.03270528,-0.9689184,-0.21131
0.1244411,-0.03138632,-0.969215,-0.2101228
0.1248908,-0.03034399,-0.9695799,-0.2083181
0.1248908,-0.03034399,-0.9695799,-0.2083181
0.1258996,-0.02942199,-0.9699745,-0.205993
0.1263418,-0.03081786,-0.9705348,-0.2028552
0.1261221,-0.03288861,-0.9709668,-0.2005867
0.1261221,-0.03288861,-0.9709668,-0.2005867
0.1255633,-0.03483006,-0.9713813,-0.1985928
0.1249498,-0.03584609,-0.971861,-0.1964406
0.1242594,-0.03648085,-0.9721992,-0.1950833
0.1242594,-0.03648085,-0.9721992,-0.1950833
0.1235959,-0.03657794,-0.972429,-0.1943401
0.1228484,-0.03664205,-0.9727216,-0.1933347
0.1220575,-0.03694881,-0.973056,-0.1920908
0.1220575,-0.03694881,-0.973056,-0.1920908
0.1213491,-0.03708326,-0.9732354,-0.191604
0.1208718,-0.03649474,-0.9733989,-0.1911874
0.1205293,-0.03676952,-0.9736056,-0.1902967
0.1205293,-0.03676952,-0.9736056,-0.1902967
0.1199497,-0.03659626,-0.9738777,-0.1893015
0.119303,-0.03631423,-0.9742065,-0.1880686
0.119303,-0.03631423,-0.9742065,-0.1880686
0.1185604,-0.03578285,-0.9745876,-0.1866603
0.1177672,-0.03517956,-0.9750232,-0.1849951
0.1176738,-0.03517299,-0.9753247,-0.1834594
0.1178266,-0.0351412,-0.9755921,-0.1819399
0.1178266,-0.0351412,-0.9755921,-0.1819399
0.1177377,-0.03489354,-0.9759562,-0.1800827
0.1175481,-0.0341581,-0.9763246,-0.1783427
0.1175481,-0.0341581,-0.9763246,-0.1783427
0.1171617,-0.03361081,-0.9765615,-0.1774011
0.1168194,-0.03271803,-0.9767023,-0.1770181
0.1165289,-0.0319773,-0.9767863,-0.1768817
0.1165289,-0.0319773,-0.9767863,-0.1768817
0.115969,-0.03095728,-0.9766552,-0.17815
0.115186,-0.03016298,-0.9761288,-0.1816451
0.1139949,-0.02991296,-0.9752031,-0.1873215
0.1139949,-0.02991296,-0.9752031,-0.1873215
0.112623,-0.02887085,-0.9742429,-0.1932184
0.1112806,-0.02782828,-0.9733692,-0.198481
0.1103788,-0.02816202,-0.9726934,-0.2022149
0.1103788,-0.02816202,-0.9726934,-0.2022149
0.10917,-0.02968644,-0.9720912,-0.205522
0.1078838,-0.03256373,-0.9712226,-0.209827
0.1066244,-0.03614827,-0.9703118,-0.2140549
0.1066244,-0.03614827,-0.9703118,-0.2140549
0.1049599,-0.03860164,-0.9694974,-0.218101
0.1024679,-0.03921764,-0.969066,-0.2210734
0.1024679,-0.03921764,-0.969066,-0.2210734
0.09971815,-0.03890368,-0.9688586,-0.2232842
0.09842335,-0.03936081,-0.9678342,-0.2281679
0.09780408,-0.0350941,-0.9662926,-0.2355449
0.09780408,-0.0350941,-0.9662926,-0.2355449
0.09895334,-0.03883947,-0.9643645,-0.2422829
0.1012836,-0.04941677,-0.961822,-0.2493954
0.1017405,-0.05551502,-0.9586138,-0.2600512
0.1017405,-0.05551502,-0.9586138,-0.2600512
0.1005067,-0.05315388,-0.9551849,-0.2733035
0.1013493,-0.04844069,-0.9518958,-0.2850897
0.1038944,-0.04241448,-0.9499461,-0.2915638
0.1038944,-0.04241448,-0.9499461,-0.2915638
0.1049697,-0.03110087,-0.950458,-0.2909359
0.1059563,-0.01848348,-0.9519382,-0.2867844
0.1105218,-0.03270505,-0.9521687,-0.2830019
0.1105218,-0.03270505,-0.9521687,-0.2830019
0.1178573,-0.05310059,-0.9506996,-0.2818871
0.1214866,-0.05436064,-0.9506082,-0.2804103
0.1195947,-0.03752049,-0.9542491,-0.2714735
0.1195947,-0.03752049,-0.9542491,-0.2714735
0.1146763,-0.02626243,-0.9586757,-0.2590377
0.1114775,-0.02637595,-0.9607879,-0.2525148
0.1108492,-0.02288322,-0.9612837,-0.2512421
0.1108492,-0.02288322,-0.9612837,-0.2512421
0.1138924,-0.009812054,-0.9616417,-0.2493541
0.1154078,-0.003245785,-0.9633403,-0.2421691
0.1154078,-0.003245785,-0.9633403,-0.2421691
0.1148281,-0.001509926,-0.9655425,-0.2335379
0.1123014,-0.00546188,-0.9680417,-0.2241738
0.110254,-0.008753386,-0.9701886,-0.2156422
0.110254,-0.008753386,-0.9701886,-0.2156422
0.1088101,-0.01021095,-0.9719209,-0.2083887
0.1081023,-0.01098022,-0.9734262,-0.2015809
0.1076854,-0.01216056,-0.9744787,-0.196589
0.1076854,-0.01216056,-0.9744787,-0.196589
0.1076889,-0.01637472,-0.975125,-0.1930445
0.1074237,-0.01964157,-0.9754853,-0.1910572
0.106364,-0.01880715,-0.9757392,-0.1904366
0.106364,-0.01880715,-0.9757392,-0.1904366
0.1053861,-0.01839904,-0.9761825,-0.1887405
0.104635,-0.0222958,-0.9768284,-0.1853666
0.1041695,-0.02450849,-0.9774866,-0.1818462
0.1041695,-0.02450849,-0.9774866,-0.1818462
0.104036,-0.02420319,-0.978225,-0.1779511
0.1039709,-0.02389181,-0.9792637,-0.1722263
0.103307,-0.02440582,-0.980567,-0.1649857
0.103307,-0.02440582,-0.980567,-0.1649857
0.1029072,-0.02411314,-0.9819477,-0.1568674
0.1028896,-0.02222485,-0.9834542,-0.1474372
0.1038783,-0.01993412,-0.9852544,-0.1344832
0.1038783,-0.01993412,-0.9852544,-0.1344832
0.106159,-0.01742701,-0.9874848,-0.1153278
0.1103352,-0.01250014,-0.9899138,-0.0879801
0.1164411,-0.00480126,-0.991676,-0.05474673
0.1164411,-0.00480126,-0.991676,-0.05474673
0.1259434,0.005179005,-0.9919052,-0.01534983
0.138198,0.01494053,-0.9898729,0.02880445
0.138198,0.01494053,-0.9898729,0.02880445
0.1493565,0.02302215,-0.9858338,0.07276302
0.1583011,0.0306982,-0.9800496,0.1161945
0.1653096,0.03786345,-0.9725285,0.1594597
0.1653096,0.03786345,-0.9725285,0.1594597
0.171345,0.0433561,-0.9639853,0.1987301
0.1764449,0.04782415,-0.9555687,0.2312328
0.1790649,0.05089805,-0.9487006,0.2555628
0.1790649,0.05089805,-0.9487006,0.2555628
0.1792907,0.05313285,-0.9427869,0.2760157
0.1787898,0.05667968,-0.9364098,0.2965778
0.1795977,0.05742574,-0.9298705,0.3158921
0.1795977,0.05742574,-0.9298705,0.3158921
0.1798311,0.05486853,-0.9248955,0.3304822
0.1783687,0.05359332,-0.9209305,0.3423439
0.1756028,0.05378565,-0.9169905,0.3541174
0.1756028,0.05378565,-0.9169905,0.3541174
0.1726916,0.05544546,-0.9127167,0.3661306
0.1704391,0.05743185,-0.9084144,0.377406
0.1682983,0.05801153,-0.9044739,0.3876046
0.1682983,0.05801153,-0.9044739,0.3876046
0.1659504,0.05858663,-0.9010131,0.3964888
0.1648573,0.0593617,-0.8982005,0.4031552
0.1646562,0.06079482,-0.8954858,0.4090203
0.1646562,0.06079482,-0.8954858,0.4090203
0.1639223,0.0615986,-0.8932872,0.4139723
0.1603104,0.06046117,-0.8911831,0.4200448
0.1603104,0.06046117,-0.8911831,0.4200448
0.1550537,0.05950812,-0.889431,0.4258281
0.1500656,0.05945977,-0.8880211,0.4305385
0.1457895,0.05961245,-0.8866658,0.4347593
0.1457895,0.05961245,-0.8866658,0.4347593
0.142055,0.05981246,-0.8855119,0.4383053
0.1381697,0.05851206,-0.8850326,0.4406845
