x,y,z,qw,qx,qy,qz
-0.6965802,1.555023,-1.123147,0.1187059,-0.01015681,0.9905605,0.06779058
-0.6965802,1.555023,-1.123147,0.1187059,-0.01015681,0.9905605,0.06779058
-0.696543,1.555173,-1.122915,0.1175964,-0.01023864,0.990659,0.0682718
-0.6965762,1.555248,-1.122769,0.1170733,-0.01030103,0.9907138,0.06836624
-0.6966299,1.555371,-1.122456,0.1159184,-0.0102619,0.9908241,0.06874076
-0.6966621,1.555369,-1.122346,0.1155188,-0.010148,0.9908563,0.06896562
-0.6966496,1.55546,-1.121899,0.1145378,-0.01000604,0.99094,0.06941938
-0.6967229,1.55553,-1.121709,0.1139826,-0.01004543,0.9909863,0.06966526
-0.6967415,1.555643,-1.12143,0.1129261,-0.0101905,0.9910696,0.07017791
-0.6968036,1.555642,-1.121291,0.1123574,-0.01018025,0.9911212,0.07036366
-0.696944,1.555761,-1.120966,0.1113416,-0.01000604,0.991204,0.07083477
-0.6970408,1.555768,-1.120828,0.1107536,-0.009965005,0.9912518,0.07109252
-0.6972413,1.555866,-1.120612,0.1094913,-0.009935054,0.9913567,0.07158776
-0.6973169,1.555914,-1.120532,0.1088123,-0.009928302,0.9914026,0.07198703
-0.6973166,1.556126,-1.120281,0.107455,-0.01047816,0.99145,0.07328449
-0.6973395,1.556342,-1.120141,0.1068338,-0.0106138,0.9914851,0.07369773
-0.6974113,1.556416,-1.11988,0.1056907,-0.0102706,0.9915853,0.07404498
-0.6975095,1.556461,-1.119705,0.1052618,-0.009866574,0.9916416,0.07395598
-0.6975598,1.556455,-1.119312,0.1044378,-0.009359697,0.9917544,0.0736774
-0.6975558,1.556523,-1.119138,0.1039405,-0.009207211,0.9918218,0.07349252
-0.6976194,1.556604,-1.118765,0.1029109,-0.009389897,0.9919213,0.07357519
-0.6976271,1.556768,-1.118536,0.10246,-0.00925483,0.9919626,0.07366496
-0.6974895,1.556936,-1.11799,0.1018906,-0.008794148,0.991949,0.07468709
-0.69748,1.557013,-1.117769,0.1018231,-0.008759343,0.9919236,0.07511948
-0.6972277,1.557154,-1.117178,0.1016605,-0.009003461,0.9918784,0.07590379
-0.6970794,1.557212,-1.11695,0.1016038,-0.009142243,0.9918727,0.07603668
-0.6970186,1.557276,-1.116522,0.1019255,-0.008952841,0.9918171,0.07635389
-0.6969304,1.55721,-1.116306,0.1021182,-0.008858302,0.9917848,0.07652728
-0.6965672,1.557266,-1.115875,0.1025359,-0.008947014,0.9917408,0.07652904
-0.6964042,1.557149,-1.115653,0.1028199,-0.008978602,0.9917298,0.07628565
-0.6961024,1.557066,-1.115203,0.1030842,-0.009080916,0.991744,0.07572945
-0.6959722,1.557025,-1.114881,0.1032298,-0.008928673,0.9917619,0.07531431
-0.6955107,1.556887,-1.114339,0.1039282,-0.00845816,0.9917327,0.07479165
-0.6953205,1.556869,-1.114012,0.1044075,-0.008159559,0.9916942,0.07466713
-0.6947734,1.556741,-1.11338,0.1056038,-0.007468269,0.9915483,0.0749936
-0.6944478,1.556748,-1.113082,0.1065321,-0.007084286,0.991444,0.07509716
-0.6936529,1.556747,-1.112562,0.1086995,-0.006532758,0.9912115,0.07511006
-0.693264,1.556712,-1.112239,0.1100835,-0.00626971,0.9910648,0.07505269
-0.6923523,1.556643,-1.111544,0.1129816,-0.005813418,0.9907628,0.07476983
-0.6918929,1.556607,-1.111138,0.1145738,-0.005608596,0.9906017,0.074496
-0.6909394,1.556564,-1.11016,0.1175697,-0.005575287,0.9903026,0.0738034
-0.6904781,1.556468,-1.109636,0.1188907,-0.005506711,0.9901803,0.07333317
-0.6894701,1.556275,-1.108465,0.1215702,-0.005200539,0.9899078,0.07263717
-0.6888993,1.556254,-1.107891,0.1228099,-0.004815206,0.9897681,0.07248243
-0.6879064,1.556305,-1.106739,0.1253148,-0.00401164,0.989447,0.07262763
-0.6874261,1.556282,-1.106132,0.1263696,-0.003604693,0.9892991,0.072836
-0.6866367,1.556371,-1.104802,0.128434,-0.00288613,0.9890206,0.07303794
-0.6861651,1.55637,-1.104159,0.1291744,-0.00266326,0.9889199,0.07310433
-0.6853062,1.556471,-1.102857,0.1305377,-0.002176825,0.9887463,0.07304763
-0.6848807,1.556509,-1.102211,0.1310795,-0.002142325,0.9886849,0.0729094
-0.6841516,1.556415,-1.101,0.13159,-0.002009531,0.9886234,0.07282688
-0.6837977,1.556422,-1.100337,0.1316675,-0.001855308,0.9886137,0.07282341
-0.6831261,1.556579,-1.098999,0.1318072,-0.001600937,0.9885952,0.0728274
-0.6828098,1.556668,-1.098312,0.1318327,-0.001798208,0.9885791,0.07299571
-0.6820868,1.556875,-1.096821,0.1316267,-0.002474748,0.988572,0.07344202
-0.6817975,1.556953,-1.096073,0.1316671,-0.002623802,0.9885586,0.0735449
-0.6810975,1.557111,-1.094581,0.1316653,-0.002566381,0.9885234,0.07402214
-0.6807462,1.557206,-1.093793,0.1317908,-0.002507646,0.9884911,0.0742308
-0.6800001,1.557315,-1.092273,0.1319227,-0.002804962,0.9884254,0.07485787
-0.6796782,1.557402,-1.091472,0.1319653,-0.003029705,0.9883785,0.07539164
-0.6790596,1.557687,-1.089844,0.131975,-0.00350195,0.9882661,0.07681502
-0.6787014,1.557833,-1.089062,0.1320222,-0.003448351,0.988198,0.07760754
-0.6780018,1.558061,-1.08731,0.1320468,-0.003365246,0.9880743,0.07912982
-0.6776667,1.558149,-1.086491,0.1319216,-0.003300417,0.9880582,0.07954106
-0.677336,1.558198,-1.085685,0.1317453,-0.003119368,0.9880571,0.07985368
-0.6766863,1.558177,-1.084065,0.1314994,-0.002632307,0.9880567,0.08027987
-0.6763363,1.558202,-1.083263,0.1313144,-0.002152734,0.9880629,0.08052154
